question_id,category,difficulty,question_text,keywords,reference_answer,language
30,Geography,hard,Discuss the strategic importance of the Strait of Malacca for India.,malacca|trade route|china|southeast asia|energy|chokepoint,The Strait of Malacca between Malaysia and Indonesia is a critical maritime chokepoint through which 60% of India's trade and 80% of its energy imports pass. China's dependence on this strait has led to India strengthening its presence through the Andaman and Nicobar Command to ensure freedom of navigation.,en
31,Science,easy,What is Newton's Third Law of Motion?,action|reaction|equal|opposite|force,"Newton's Third Law states that for every action, there is an equal and opposite reaction. When one body exerts a force on another, the second body exerts an equal force in the opposite direction on the first.",en
32,Science,easy,What is the chemical formula for water?,h2o|hydrogen|oxygen|molecule,"Water has the chemical formula H₂O, consisting of two hydrogen atoms bonded to one oxygen atom through covalent bonds.",en
33,Science,medium,Explain how radar technology works and its military applications.,radio waves|detection|ranging|aircraft|surveillance,"Radar (Radio Detection and Ranging) works by transmitting radio waves that bounce off objects and return to the receiver. The time delay and frequency shift reveal the object's distance, speed, and direction. Military applications include air defence, missile tracking, ground surveillance, and naval target detection.",en
34,Science,medium,What is the difference between nuclear fission and nuclear fusion?,fission|fusion|splitting|combining|energy|uranium|hydrogen,"Nuclear fission splits heavy atoms (like Uranium-235) into lighter ones, releasing energy; it powers nuclear reactors and atomic bombs. Nuclear fusion combines light atoms (hydrogen isotopes) into heavier ones (helium), releasing far more energy; it powers the sun and hydrogen bombs.",en
35,Science,hard,Explain the working principle of a ballistic missile and its trajectory.,ballistic|trajectory|parabolic|reentry|propulsion|warhead,"A ballistic missile is propelled by rocket engines during its boost phase, then follows a free-flight ballistic (parabolic) trajectory under gravity. The three phases are: boost (powered ascent), midcourse (exoatmospheric flight), and terminal (atmospheric reentry). ICBMs can reach speeds of Mach 20+ during reentry.",en
36,Science,easy,What is the speed of light?,light|speed|300000|vacuum|electromagnetic,"The speed of light in a vacuum is approximately 3 × 10⁸ metres per second (about 300,000 km/s). It is the fastest speed at which energy or information can travel.",en
37,Science,medium,How do stealth aircraft avoid radar detection?,stealth|radar|absorb|geometry|cross section|coating,"Stealth aircraft use angular geometry to deflect radar waves away from the receiver, radar-absorbing materials (RAM) coatings, internal weapons bays to reduce radar cross-section, and engine designs that minimize infrared signatures.",en
38,Science,hard,Describe the principle behind GPS satellite navigation.,gps|satellite|trilateration|atomic clock|orbit|positioning,"GPS uses a constellation of 24+ satellites in medium Earth orbit. Each satellite transmits precise time signals from atomic clocks. A GPS receiver calculates its position by measuring the time delay from at least 4 satellites and using trilateration to determine latitude, longitude, and altitude.",en
39,Science,easy,What is the unit of electric current?,ampere|current|charge|coulomb,"The unit of electric current is the Ampere (A), defined as one coulomb of charge flowing per second through a conductor.",en
40,Science,medium,What is sonar and how is it used in naval warfare?,sonar|sound|underwater|submarine|detection|acoustic,"Sonar (Sound Navigation and Ranging) uses sound waves to detect underwater objects. Active sonar emits pulses and listens for echoes; passive sonar only listens for sounds. It is crucial for submarine detection, mine hunting, torpedo guidance, and mapping the ocean floor.",en
41,Science,hard,Explain the electromagnetic spectrum and its military significance.,electromagnetic|radio|infrared|microwave|visible|uv|frequency,"The electromagnetic spectrum ranges from radio waves to gamma rays. Military uses include: radio (communications), microwave (radar), infrared (night vision, heat-seeking missiles), visible (laser targeting), UV (chemical detection), and gamma (nuclear detection). Each band has unique detection and countermeasure applications.",en
42,Science,medium,What is the greenhouse effect?,greenhouse|carbon dioxide|atmosphere|warming|radiation,"The greenhouse effect occurs when atmospheric gases (CO₂, methane, water vapor) trap infrared radiation from Earth's surface, warming the atmosphere. While natural levels sustain life, increased CO₂ from fossil fuels has intensified this effect, causing global warming.",en
43,Science,easy,What gas do plants absorb during photosynthesis?,carbon dioxide|co2|photosynthesis|oxygen|sunlight,"Plants absorb carbon dioxide (CO₂) from the atmosphere during photosynthesis, using sunlight energy to convert it into glucose and release oxygen.",en
44,Science,hard,Describe the working of a nuclear submarine reactor.,nuclear|submarine|reactor|pressurized water|steam|propulsion,"Nuclear submarines use pressurized water reactors (PWR). Uranium fuel undergoes controlled fission, heating pressurized water in the primary loop. This heat transfers to a secondary loop, generating steam that drives turbines for propulsion and electricity. They can operate submerged for months without refueling.",en
45,Science,medium,What is the Doppler effect and give an example.,doppler|frequency|approach|recede|wavelength|sound,"The Doppler effect is the change in frequency of a wave relative to a moving observer. When a source approaches, frequency increases (higher pitch/blueshift); when it recedes, frequency decreases (lower pitch/redshift). Example: an ambulance siren sounds higher-pitched as it approaches.",en
46,Mathematics,easy,What is the value of pi (π)?,pi|3.14|circumference|diameter|irrational,"Pi (π) is approximately 3.14159, an irrational number representing the ratio of a circle's circumference to its diameter.",en
47,Mathematics,easy,Calculate: 15% of 800.,15|percent|800|120|multiplication,15% of 800 = (15/100) × 800 = 120.,en
48,Mathematics,easy,What is the Pythagorean theorem?,pythagorean|hypotenuse|right triangle|a squared|b squared|c squared,"The Pythagorean theorem states that in a right-angled triangle, the square of the hypotenuse equals the sum of squares of the other two sides: a² + b² = c².",en
49,Mathematics,medium,"If a train travels 360 km in 4 hours, what is its average speed?",speed|distance|time|90|km per hour,Average speed = Distance ÷ Time = 360 ÷ 4 = 90 km/h.,en
50,Mathematics,medium,"Solve: If 3x + 7 = 22, find the value of x.",equation|solve|x|5|linear,3x + 7 = 22 → 3x = 22 - 7 → 3x = 15 → x = 5.,en
51,Mathematics,hard,A boat travels 24 km upstream in 6 hours and 24 km downstream in 4 hours. Find the speed of the boat in still water.,upstream|downstream|speed|boat|current|5,Speed upstream = 24/6 = 4 km/h. Speed downstream = 24/4 = 6 km/h. Speed of boat in still water = (4+6)/2 = 5 km/h.,en
52,Mathematics,easy,What is the area of a circle with radius 7 cm?,area|circle|pi|radius|154,Area = π × r² = 22/7 × 7 × 7 = 154 sq cm.,en
53,Mathematics,medium,Find the HCF of 36 and 48.,hcf|gcd|factors|12|common,"Factors of 36: 1,2,3,4,6,9,12,18,36. Factors of 48: 1,2,3,4,6,8,12,16,24,48. HCF = 12.",en
54,Mathematics,hard,In how many ways can 5 people be seated in a row?,permutation|factorial|5|120|arrangement,Number of ways = 5! = 5 × 4 × 3 × 2 × 1 = 120.,en
55,Mathematics,medium,What is the compound interest on Rs 10000 at 10% per annum for 2 years?,compound interest|principal|rate|amount|2100,A = P(1+r/100)^n = 10000(1.1)² = 12100. CI = 12100 - 10000 = Rs 2100.,en
56,Mathematics,easy,Convert 0.75 into a fraction.,fraction|decimal|3/4|convert,0.75 = 75/100 = 3/4.,en
57,Mathematics,hard,A tank can be filled by pipe A in 12 hours and by pipe B in 15 hours. How long to fill if both work together?,pipe|tank|work|together|hours|rate,"Rate of A = 1/12, Rate of B = 1/15. Combined rate = 1/12 + 1/15 = 5/60 + 4/60 = 9/60 = 3/20. Time = 20/3 = 6 hours 40 minutes.",en
58,Mathematics,medium,What is the probability of getting a head when tossing a fair coin?,probability|coin|head|1/2|equally likely,Probability = favorable outcomes / total outcomes = 1/2 = 0.5 or 50%.,en
59,Mathematics,hard,"If log₁₀2 = 0.3010, find log₁₀8.",logarithm|log|base|power|0.9030,log₁₀8 = log₁₀(2³) = 3 × log₁₀2 = 3 × 0.3010 = 0.9030.,en
60,Mathematics,medium,"The ratio of ages of A and B is 3:5. If the sum of their ages is 48, find their ages.",ratio|age|sum|18|30,"Let ages be 3x and 5x. 3x + 5x = 48 → 8x = 48 → x = 6. Ages: A = 18, B = 30.",en
61,Current Affairs,easy,Who is the current President of India?,president|india|head of state|rashtrapati bhavan,"The President of India is the constitutional head of state, residing at Rashtrapati Bhavan, New Delhi.",en
62,Current Affairs,easy,What is the Make in India initiative?,make in india|manufacturing|self reliance|modi|2014,"Make in India is a government initiative launched in 2014 to encourage domestic and foreign companies to manufacture products in India, boosting economic growth and creating jobs, especially in the defence sector.",en
63,Current Affairs,medium,What is the Agnipath scheme for military recruitment?,agnipath|agniveer|4 years|recruitment|youth|armed forces,"The Agnipath scheme, launched in 2022, recruits youth as Agniveers for a 4-year tenure in the Armed Forces. After 4 years, 25% are retained for regular service. It aims to create a younger, fitter fighting force.",en
64,Current Affairs,medium,Explain India's role in the Quad alliance.,quad|usa|japan|australia|indo pacific|china|security,"The Quad (Quadrilateral Security Dialogue) comprises India, USA, Japan, and Australia. It focuses on a free and open Indo-Pacific region, maritime security, countering Chinese expansionism, technology cooperation, and vaccine diplomacy.",en
65,Current Affairs,hard,Discuss the implications of the India-China border standoff in Ladakh.,ladakh|galwan|lac|standoff|disengagement|pangong,"The 2020 India-China standoff in Ladakh, including the deadly Galwan Valley clash, led to significant military buildup along the LAC. It resulted in diplomatic tensions, ban on Chinese apps, trade restrictions, and accelerated India's infrastructure development along border areas.",en
66,Current Affairs,easy,What is Digital India?,digital india|internet|technology|governance|e-governance,"Digital India is a government initiative to transform India into a digitally empowered society through improved online infrastructure, digital literacy, and delivery of government services electronically.",en
67,Current Affairs,medium,What is the significance of Chandrayaan-3?,chandrayaan|moon|isro|south pole|landing|vikram|rover,"Chandrayaan-3 successfully landed on the Moon's south pole in August 2023, making India the first country to achieve this and the fourth to land on the Moon. The Vikram lander and Pragyan rover conducted scientific experiments studying lunar soil and atmosphere.",en
68,Current Affairs,hard,Analyze the impact of AUKUS on India's Indo-Pacific strategy.,aukus|australia|uk|usa|submarine|nuclear|indo pacific,"AUKUS is a security partnership between Australia, UK, and USA providing nuclear-powered submarines to Australia. While India is not a member, it impacts India's Indo-Pacific calculus by strengthening Western presence, potentially counterbalancing China, but also raising concerns about nuclear proliferation and overlapping with Quad objectives.",en
69,Current Affairs,medium,What is the Rafale fighter jet deal and its significance for India?,rafale|france|fighter|dassault|air force|36,"India acquired 36 Rafale omnirole fighter jets from France's Dassault Aviation, enhancing the IAF's capabilities with advanced avionics, beyond-visual-range missiles (Meteor), and nuclear delivery capability. They significantly boost India's air superiority.",en
70,Current Affairs,hard,Discuss India's stance on the Russia-Ukraine conflict.,russia|ukraine|conflict|neutral|un|abstain|energy,"India has maintained a balanced position, abstaining from UN votes condemning Russia while calling for dialogue and diplomacy. India continues to purchase Russian oil and maintains defence ties with Russia (S-400) while engaging with Western partners, prioritizing its strategic autonomy.",en
71,Current Affairs,easy,What is Swachh Bharat Mission?,swachh bharat|clean india|sanitation|hygiene|toilets|2014,"Swachh Bharat (Clean India) Mission, launched in 2014, aims to achieve universal sanitation coverage by building toilets, managing waste, and promoting hygiene awareness across urban and rural India.",en
72,Current Affairs,medium,What are India's permanent membership aspirations at the UN Security Council?,unsc|permanent member|reform|veto|g4,"India seeks permanent membership in the UN Security Council, currently held by 5 nations (US, UK, France, Russia, China). As part of the G4 (with Germany, Japan, Brazil), India argues its large population, economic growth, and contributions to UN peacekeeping warrant a permanent seat.",en
73,Current Affairs,medium,Explain the significance of the S-400 missile defence system for India.,s400|russia|missile|air defence|triumph|caatsa,"The S-400 Triumf is an advanced air defence system procured from Russia, capable of engaging aircraft, missiles, and drones at ranges up to 400 km. India acquired it despite US CAATSA sanctions threats, as it significantly enhances India's multi-layered air defence.",en
74,Current Affairs,hard,Discuss the concept of Atmanirbhar Bharat in the defence sector.,atmanirbhar|self reliant|defence|indigenous|import|manufacturing,"Atmanirbhar Bharat (Self-Reliant India) in defence aims to reduce dependence on imported weapons. Key steps include positive indigenization lists banning import of 400+ items, increased FDI limits, defence corridors in UP and Tamil Nadu, and promoting private sector participation in defence manufacturing.",en
75,Current Affairs,easy,What is the One Nation One Ration Card scheme?,one nation|ration card|food security|portability|migrant,"The One Nation One Ration Card scheme enables beneficiaries to access their food grain entitlements from any Fair Price Shop across India using the same ration card, particularly benefiting migrant workers.",en
76,Reasoning,easy,"Complete the series: 2, 6, 18, 54, ?",series|pattern|multiply|3|162,"Each number is multiplied by 3: 2×3=6, 6×3=18, 18×3=54, 54×3=162. Answer: 162.",en
77,Reasoning,easy,"If all roses are flowers and some flowers are red, can we conclude all roses are red?",logic|syllogism|conclusion|invalid|some,"No, we cannot conclude that all roses are red. While all roses are flowers, only some flowers are red. The roses could be among the non-red flowers. The conclusion is logically invalid.",en
78,Reasoning,medium,A clock shows 3:15. What is the angle between the hour and minute hands?,clock|angle|hour|minute|7.5,"At 3:15, the minute hand is at 90° (pointing at 3). The hour hand has moved past 3 by 15 minutes: 90° + (15 × 0.5°) = 97.5°. Angle between them = 97.5° - 90° = 7.5°.",en
79,Reasoning,medium,"Find the odd one out: Mars, Jupiter, Sun, Saturn, Neptune.",odd one out|sun|star|planet|solar system,"Sun is the odd one out. Mars, Jupiter, Saturn, and Neptune are all planets, while the Sun is a star.",en
80,Reasoning,hard,"If A is the brother of B, B is the sister of C, and C is the father of D, how is A related to D?",relation|family|uncle|brother|sister|father,"A is D's uncle. C is D's father, B is C's sister, and A is B's brother. So A is the brother of D's father's sister, making A the uncle of D.",en
81,Reasoning,easy,"What comes next: J, F, M, A, M, J, J, ?",months|pattern|august|calendar|sequence,"A (August). The letters represent the first letters of months: January, February, March, April, May, June, July, August.",en
82,Reasoning,medium,"A man walks 5 km south, then 3 km east, then 5 km north. How far is he from the starting point?",direction|distance|starting point|3 km|east,"He is 3 km east of his starting point. The 5 km south and 5 km north cancel each other out, leaving only the 3 km eastward displacement.",en
83,Reasoning,hard,"In a row of 40 students, R is 11th from the left and S is 16th from the right. How many students are between them?",position|row|left|right|between|14,"R is 11th from left, S is 16th from right (i.e., 40-16+1 = 25th from left). Students between them = 25 - 11 - 1 = 13.",en
84,Reasoning,easy,"If APPLE is coded as ELPPA, how is MANGO coded?",code|reverse|pattern|ognam,"Following the reverse pattern, MANGO would be coded as OGNAM.",en
85,Reasoning,medium,"Three friends A, B, C have different heights. A is taller than B. C is shorter than B. Who is the shortest?",comparison|height|order|shortest|tallest,C is the shortest. The order from tallest to shortest is: A > B > C.,en
86,Reasoning,hard,"A statement says: All soldiers are brave. Some brave people are leaders. Which conclusion is valid: (a) All soldiers are leaders, (b) Some soldiers may be leaders, (c) No soldiers are leaders?",syllogism|logic|valid|conclusion|some|may,"Option (b) is valid. Since all soldiers are brave and some brave people are leaders, it is possible that some soldiers are among those brave people who are leaders, but it is not certain.",en
87,Reasoning,medium,"If 1=5, 2=25, 3=125, 4=625, then 5=?",pattern|power|multiply|1|logical,"5 = 1. The pattern shows n = 5^n, so 1=5¹=5. But the question says 1=5, so by the same logic, 5=1 (it maps back to the first value). Answer: 1.",en
88,Reasoning,easy,"Which number should replace the question mark: 8, 27, 64, 125, ?",cube|pattern|216|6|number,"216. The pattern is cubes: 2³=8, 3³=27, 4³=64, 5³=125, 6³=216.",en
89,Reasoning,hard,There are 5 houses in a row. The red house is to the left of the blue house. The green house is between the red and yellow houses. The white house is at the right end. What is the order?,order|houses|logic|arrangement|color,"From left to right: Yellow, Green, Red, Blue, White. Green is between Red and Yellow, Red is left of Blue, and White is at the right end.",en
90,Reasoning,medium,A is B's father. C is A's sister. D is C's son. What is D's relation to B?,relation|cousin|family|father|sister|son,"D is B's cousin. A is B's father, C is A's sister (B's aunt), and D is C's son, making D and B cousins.",en
91,English,easy,Choose the correct word: The soldiers showed great ___ (courage/courageous) in battle.,courage|noun|adjective|form|correct,"Courage is correct. A noun is required after the adjective 'great', and 'courage' is a noun while 'courageous' is an adjective.",en
92,English,easy,Identify the error: He don't know the answer.,does not|don't|subject verb|agreement|error,The error is 'don't'. The correct form is 'He doesn't know the answer.' Third person singular subjects (he/she/it) require 'doesn't' instead of 'don't'.,en
93,English,medium,What is the passive voice of: The commander issued the orders?,passive|active|voice|were issued|by,Passive voice: The orders were issued by the commander.,en
94,English,medium,Use the word 'integrity' in a meaningful sentence.,integrity|honesty|moral|character|sentence,"Example: A military officer must uphold the highest standards of integrity, as the nation's trust depends on their moral character.",en
95,English,easy,What is the synonym of 'valor'?,valor|bravery|courage|synonym|heroism,"Synonyms of valor include bravery, courage, heroism, gallantry, and fearlessness.",en
96,English,hard,"Write a précis of: The Indian Armed Forces play a vital role not only in defending the nation's borders but also in providing humanitarian assistance during natural disasters. Their dedication to duty, discipline, and selfless service makes them one of the most respected institutions in India.",précis|summary|concise|army|defence|humanitarian,"The Indian Armed Forces defend national borders and provide humanitarian disaster relief. Their dedication, discipline, and selfless service make them among India's most respected institutions.",en
97,English,medium,What is the antonym of 'cowardice'?,antonym|cowardice|bravery|courage|opposite,"The antonym of cowardice is bravery (also: courage, valor, gallantry, fearlessness).",en
98,English,easy,Fill in the blank: Neither the captain ___ the soldiers were present. (nor/or),neither nor|conjunction|correlative|grammar,Neither the captain NOR the soldiers were present. 'Neither...nor' is a correlative conjunction pair.,en
99,English,hard,Explain the difference between 'affect' and 'effect'.,affect|effect|verb|noun|influence|result,"'Affect' is primarily a verb meaning to influence (e.g., The rain affected the mission). 'Effect' is primarily a noun meaning a result (e.g., The effect of training was visible). 'Effect' can also be a verb meaning to bring about (e.g., effect change).",en
100,English,medium,"Convert to indirect speech: The officer said, 'Report at 0600 hours tomorrow.'",indirect|reported|speech|told|ordered,Indirect speech: The officer ordered to report at 0600 hours the next day.,en
101,English,easy,What is the plural of 'analysis'?,plural|analyses|analysis|irregular|noun,The plural of 'analysis' is 'analyses'. It follows the Greek/Latin pluralization pattern.,en
102,English,hard,What is a dangling modifier? Give an example.,dangling|modifier|grammatical|error|subject,"A dangling modifier is a phrase that does not clearly modify the intended word. Example (incorrect): 'Running to the base, the rain started.' (Who was running?) Correct: 'Running to the base, the soldier got caught in the rain.'",en
103,English,medium,Choose correctly: The team ___ (has/have) won the championship.,subject verb|agreement|team|collective|singular,'Has' is correct. 'Team' is a collective noun typically treated as singular: 'The team has won the championship.',en
104,English,medium,What does the idiom 'burning the midnight oil' mean?,idiom|meaning|working late|studying|night,"The idiom 'burning the midnight oil' means working or studying late into the night, showing dedication and hard work.",en
105,English,hard,Correct the sentence: Each of the soldiers have completed their training.,each|singular|has|his or her|agreement,Corrected: Each of the soldiers has completed his or her training. 'Each' is singular and requires 'has' and a singular pronoun.,en
106,Personality Test,easy,Tell us about yourself and your family background.,family|background|education|values|upbringing,"A good answer covers family structure, parents' occupations, values instilled (discipline, honesty, service), educational background, and personal qualities shaped by upbringing. It should be concise, confident, and structured.",en
107,Personality Test,easy,Why do you want to join the Armed Forces?,motivation|serve|nation|defence|passion|duty,"Strong answers demonstrate genuine patriotism, understanding of military life's challenges, family military tradition, inspiration from national events, and a sense of duty and service beyond personal gain.",en
108,Personality Test,medium,Describe a situation where you demonstrated leadership.,leadership|team|challenge|initiative|result|decision,"A good answer follows the STAR method: Situation (context), Task (responsibility), Action (specific steps taken as leader), Result (positive outcome). It should show initiative, decision-making, and ability to motivate others.",en
109,Personality Test,medium,How do you handle failure or setback?,failure|resilience|learning|bounce back|growth|improve,"Strong responses show emotional maturity by acknowledging failures without blame, describing specific lessons learned, explaining how they adapted their approach, and demonstrating resilience and growth mindset.",en
110,Personality Test,hard,You are leading a patrol and encounter an unexpected enemy force. What would you do?,tactical|leadership|assess|cover|report|command,"A strong answer shows tactical thinking: assess the situation and enemy strength, ensure team takes cover, report to higher command, protect the team while gathering intelligence, make a decision based on rules of engagement, and maintain composure under pressure.",en
111,Personality Test,easy,What are your strengths and weaknesses?,strength|weakness|self-awareness|honest|improve,Good answers are honest and self-aware. Strengths should be backed with examples. Weaknesses should be genuine (not disguised strengths) with evidence of working to improve them.,en
112,Personality Test,medium,How would you handle a disagreement with a superior officer?,respect|disagreement|chain of command|communication|subordinate,"Strong answers show respect for the chain of command while demonstrating the courage to voice concerns through proper channels. The candidate should explain how they would present their perspective respectfully, but ultimately follow orders while maintaining trust.",en
113,Personality Test,hard,A fellow soldier is breaking rules that could endanger the unit. How would you handle this?,ethics|duty|confrontation|report|safety|morality,"A mature answer shows balancing loyalty with duty: first approach the soldier privately, explain the danger, give them a chance to correct behavior. If the behavior continues, report to the superior as unit safety takes precedence over personal loyalty.",en
114,Personality Test,easy,What motivates you to perform your best?,motivation|drive|excellence|purpose|goal,"Good answers mention intrinsic motivators: sense of duty, desire to excel, responsibility toward teammates, personal standards, and the goal of contributing to something larger than oneself.",en
